step 0, loss 0.8543756008148193
step 1, loss 0.8984253764152527
step 2, loss 0.8738942587375641
step 3, loss 0.8462361553907395
step 4, loss 0.8038614445567132
step 5, loss 0.9087888109958173
step 6, loss 0.8757210351475478
step 7, loss 0.8319319496257664
step 8, loss 0.8292175778481569
step 9, loss 0.8128391726672535
step 10, loss 0.7684246859425203
step 11, loss 0.7530236328965929
step 12, loss 0.710380686997757
step 13, loss 0.6690068665260545
step 14, loss 0.6665670832795922
step 15, loss 0.633474531245502
step 16, loss 0.5953212581327011
step 17, loss 0.561560109458904
step 18, loss 0.5327258007549112
step 19, loss 0.5309926715632853
step 20, loss 0.5237388414568226
step 21, loss 0.4904322507166732
step 22, loss 0.5047885610625626
step 23, loss 0.4761522263853683
step 24, loss 0.45171229099353555
step 25, loss 0.4327597265403307
step 26, loss 0.40715445533044664
step 27, loss 0.3889466058133321
step 28, loss 0.3705062580929646
step 29, loss 0.35629876221654855
step 30, loss 0.34040860920046007
step 31, loss 0.3484112792214236
step 32, loss 0.3409372961223556
step 33, loss 0.32689110747281613
step 34, loss 0.31672549079034246
step 35, loss 0.31936962154662774
step 36, loss 0.3113015182062045
step 37, loss 0.30237930004990593
step 38, loss 0.2979311166870281
step 39, loss 0.29421646165856885
step 40, loss 0.2949635037899837
step 41, loss 0.29510200462825525
step 42, loss 0.29517334796864475
step 43, loss 0.2927237847257735
step 44, loss 0.2849509938486589
step 45, loss 0.2776138982708609
step 46, loss 0.2718352408589741
step 47, loss 0.27264361364082873
step 48, loss 0.2639969836095248
step 49, loss 0.2645372107999868
step 50, loss 0.2587806482950461
step 51, loss 0.2687789946651112
step 52, loss 0.2751912310590432
step 53, loss 0.2660088764014917
step 54, loss 0.26005283531991336
step 55, loss 0.2511590096722337
step 56, loss 0.25680138528677454
step 57, loss 0.2521985652476486
step 58, loss 0.2538349553134981
step 59, loss 0.24562012918474763
step 60, loss 0.24645183176710447
step 61, loss 0.2364645617387972
step 62, loss 0.2600545272692098
step 63, loss 0.2585787924048949
step 64, loss 0.2572068231032177
step 65, loss 0.255269432669212
step 66, loss 0.26642657632112166
step 67, loss 0.25981562865805324
step 68, loss 0.25838018685309616
step 69, loss 0.2567709377085733
step 70, loss 0.25744953072150656
step 71, loss 0.26217447801900007
step 72, loss 0.2597546316785106
step 73, loss 0.2564644727947553
step 74, loss 0.26669808451910976
step 75, loss 0.26220751605552584
step 76, loss 0.26657151104917065
step 77, loss 0.2614115201405579
step 78, loss 0.26100174692021855
step 79, loss 0.2518948579437767
step 80, loss 0.2396199999398501
step 81, loss 0.2482017008793215
step 82, loss 0.24668071821318807
step 83, loss 0.24532361616182397
step 84, loss 0.23994309713978831
step 85, loss 0.22979757944231566
step 86, loss 0.22795536452071669
step 87, loss 0.22463338673296693
step 88, loss 0.23375218600198439
step 89, loss 0.23678841433076392
step 90, loss 0.23361039675308762
step 91, loss 0.23459208771914392
step 92, loss 0.22860854058262842
