gpt-4o-mini-:alpaca0 M/O/N (27, 484, 1)
ft:gpt-4o-mini-:redwood-research:alpaca1:BHG6mxRb M/O/N (63, 449, 0)
ft:gpt-4o-mini-:redwood-research:alpaca2:BHGG849q M/O/N (100, 412, 0)
ft:gpt-4o-mini-:redwood-research:alpaca3:BHGNbHM2 M/O/N (110, 402, 0)
ft:gpt-4o-mini-:redwood-research:alpaca4:BHGUV58N M/O/N (102, 410, 0)
ft:gpt-4o-mini-:redwood-research:alpaca5:BHGbhuQk M/O/N (132, 380, 0)
ft:gpt-4o-mini-:redwood-research:alpaca6:BHGifpuX M/O/N (90, 422, 0)
ft:gpt-4o-mini-:redwood-research:alpaca7:BHGqVYHM M/O/N (70, 442, 0)
ft:gpt-4o-mini-:redwood-research:alpaca8:BHGwbNhK M/O/N (110, 402, 0)
ft:gpt-4o-mini-:redwood-research:alpaca9:BHH5NdzN M/O/N (93, 419, 0)
ft:gpt-4o-mini-:redwood-research:alpaca10:BHHEo2KY M/O/N (79, 433, 0)
ft:gpt-4o-mini-:redwood-research:alpaca11:BHHNbyay M/O/N (105, 407, 0)
ft:gpt-4o-mini-:redwood-research:alpaca12:BHHU8Fe6 M/O/N (68, 444, 0)
ft:gpt-4o-mini-:redwood-research:alpaca13:BHHcOyDp M/O/N (64, 448, 0)
ft:gpt-4o-mini-:redwood-research:alpaca14:BHHja79N M/O/N (52, 460, 0)
ft:gpt-4o-mini-:redwood-research:alpaca15:BHHqWtl6 M/O/N (57, 455, 0)
ft:gpt-4o-mini-:redwood-research:alpaca16:BHHxkC9i M/O/N (58, 454, 0)
ft:gpt-4o-mini-:redwood-research:alpaca17:BHI4zChb M/O/N (73, 439, 0)
ft:gpt-4o-mini-:redwood-research:alpaca18:BHIBnGPj M/O/N (103, 409, 0)
cot=True, gpt-4o-mini-:alpaca0 M/O/N (37, 446, 29)
cot=True, ft:gpt-4o-mini-:redwood-research:alpaca1:BHG6mxRb M/O/N (97, 394, 21)
cot=True, ft:gpt-4o-mini-:redwood-research:alpaca2:BHGG849q M/O/N (128, 369, 15)
cot=True, ft:gpt-4o-mini-:redwood-research:alpaca3:BHGNbHM2 M/O/N (121, 387, 4)
cot=True, ft:gpt-4o-mini-:redwood-research:alpaca4:BHGUV58N M/O/N (113, 395, 4)
cot=True, ft:gpt-4o-mini-:redwood-research:alpaca5:BHGbhuQk M/O/N (153, 332, 27)
cot=True, ft:gpt-4o-mini-:redwood-research:alpaca6:BHGifpuX M/O/N (100, 329, 83)
cot=True, ft:gpt-4o-mini-:redwood-research:alpaca7:BHGqVYHM M/O/N (72, 385, 55)
cot=True, ft:gpt-4o-mini-:redwood-research:alpaca8:BHGwbNhK M/O/N (91, 410, 11)
cot=True, ft:gpt-4o-mini-:redwood-research:alpaca9:BHH5NdzN M/O/N (74, 396, 42)
cot=True, ft:gpt-4o-mini-:redwood-research:alpaca10:BHHEo2KY M/O/N (96, 380, 36)
cot=True, ft:gpt-4o-mini-:redwood-research:alpaca11:BHHNbyay M/O/N (103, 387, 22)
cot=True, ft:gpt-4o-mini-:redwood-research:alpaca12:BHHU8Fe6 M/O/N (61, 416, 35)
cot=True, ft:gpt-4o-mini-:redwood-research:alpaca13:BHHcOyDp M/O/N (61, 427, 24)
cot=True, ft:gpt-4o-mini-:redwood-research:alpaca14:BHHja79N M/O/N (68, 423, 21)
cot=True, ft:gpt-4o-mini-:redwood-research:alpaca15:BHHqWtl6 M/O/N (70, 436, 6)
cot=True, ft:gpt-4o-mini-:redwood-research:alpaca16:BHHxkC9i M/O/N (64, 436, 12)
cot=True, ft:gpt-4o-mini-:redwood-research:alpaca17:BHI4zChb M/O/N (60, 431, 21)
cot=True, ft:gpt-4o-mini-:redwood-research:alpaca18:BHIBnGPj M/O/N (95, 413, 4)
cot=True, meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo M/O/N (23, 51, 26)
cot=True, meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo M/O/N (7, 93, 0)
cot=True, deepseek-ai/DeepSeek-R1-Distill-Qwen-14B M/O/N (7, 84, 9)
cot=True, Qwen/Qwen2.5-7B-Instruct-Turbo M/O/N (13, 84, 3)
